Date,Direction,Horizon,Response
2021-06-17,SOLVPN_to_COPPER,8,-0.0037636470330316705
2021-06-17,SOLVPN_to_COPPER,9,0.1398168655865784
2021-06-17,SOLVPN_to_COPPER,10,0.06402443044959702
2021-06-17,SOLVPN_to_COPPER,11,0.06949105753018003
2021-06-17,SOLVPN_to_COPPER,12,0.0783992737539184
2021-06-17,SOLVPN_to_COPPER,13,0.048722641254938526
2021-06-17,SOLVPN_to_COPPER,14,0.05480393315448323
2021-06-17,SOLVPN_to_COPPER,15,0.04790442411048721
2021-06-17,SOLVPN_to_COPPER,16,0.09224112759935495
2021-06-17,SOLVPN_to_COPPER,17,0.05730512392380317
2021-06-17,SOLVPN_to_COPPER,18,0.07431892457514645
2021-06-17,SOLVPN_to_COPPER,19,0.03648912514293343
2021-06-17,SOLVPN_to_COPPER,20,0.033284315223760914
2022-03-01,COPPER_to_SOLVPN,0,0.006514076954057875
2022-03-01,COPPER_to_SOLVPN,1,0.03604583469929304
2022-03-01,COPPER_to_SOLVPN,2,0.019481065386765403
2022-03-01,COPPER_to_SOLVPN,3,0.11623622735946447
2022-03-01,COPPER_to_SOLVPN,4,0.1129613672361162
2022-03-01,COPPER_to_SOLVPN,5,0.09610813390855423
2022-03-01,COPPER_to_SOLVPN,6,0.07945708068888556
2022-03-01,COPPER_to_SOLVPN,7,0.061576400077338056
2022-03-01,COPPER_to_SOLVPN,8,0.15929775061216606
2022-03-01,COPPER_to_SOLVPN,9,0.17788648763114007
2022-03-01,COPPER_to_SOLVPN,10,0.19414285123692482
2022-03-01,COPPER_to_SOLVPN,11,0.18949198397927058
2022-03-01,COPPER_to_SOLVPN,12,0.19001567438544126
2022-03-01,COPPER_to_SOLVPN,13,0.19854340448137747
2022-03-01,COPPER_to_SOLVPN,14,0.19691522405992645
2022-03-01,COPPER_to_SOLVPN,15,0.21944509478268498
2022-03-01,COPPER_to_SOLVPN,16,0.21927094940802888
2022-03-01,COPPER_to_SOLVPN,17,0.13022736483116176
2022-03-01,COPPER_to_SOLVPN,18,0.13189306328546346
2022-03-01,COPPER_to_SOLVPN,19,0.04578695289762963
2022-03-01,COPPER_to_SOLVPN,20,0.06443128458264707
2022-03-01,SOLVPN_to_COPPER,0,0.0636051428329305
2022-03-01,SOLVPN_to_COPPER,1,-0.2492963917809145
2022-03-01,SOLVPN_to_COPPER,2,-0.24566227400178184
2022-03-01,SOLVPN_to_COPPER,3,-0.11541452632473553
2022-03-01,SOLVPN_to_COPPER,4,-0.1984769143166332
2022-03-01,SOLVPN_to_COPPER,5,-0.2156422067847794
2022-03-01,SOLVPN_to_COPPER,6,-0.18793003868798908
2022-03-01,SOLVPN_to_COPPER,7,-0.20438230284065426
2022-03-01,SOLVPN_to_COPPER,8,-0.23960987376426024
2022-03-01,SOLVPN_to_COPPER,9,-0.1951689348859264
2022-03-01,SOLVPN_to_COPPER,10,-0.22287082522509605
2022-03-01,SOLVPN_to_COPPER,11,-0.21970863897855802
2022-03-01,SOLVPN_to_COPPER,12,-0.22240117895457961
2022-03-01,SOLVPN_to_COPPER,13,-0.22602924431753055
2022-03-01,SOLVPN_to_COPPER,14,-0.1991276537887392
2022-03-01,SOLVPN_to_COPPER,15,-0.18617340567410184
2022-03-01,SOLVPN_to_COPPER,16,-0.22742649861746062
2022-03-01,SOLVPN_to_COPPER,17,-0.20476356597346745
2022-03-01,SOLVPN_to_COPPER,18,-0.1969942616522543
2022-03-01,SOLVPN_to_COPPER,19,-0.19691198980502173
2022-03-01,SOLVPN_to_COPPER,20,-0.2220849130392009
2022-03-02,COPPER_to_SOLVPN,0,0.029531757745235164
2022-03-02,COPPER_to_SOLVPN,1,0.012966988432707528
2022-03-02,COPPER_to_SOLVPN,2,0.10972215040540659
2022-03-02,COPPER_to_SOLVPN,3,0.10644729028205832
2022-03-02,COPPER_to_SOLVPN,4,0.08959405695449635
2022-03-02,COPPER_to_SOLVPN,5,0.07294300373482768
